 ,Mean,Min,Max,Skew,Slice,microns
1,1690.010,1551,2028,1.329,1,0
2,1686.853,1544,2027,1.351,2,1
3,1687.012,1545,2043,1.358,3,2
4,1687.652,1546,2059,1.384,4,3
5,1687.737,1553,2065,1.404,5,4
6,1687.647,1531,2124,1.419,6,5
7,1687.704,1548,2082,1.446,7,6
8,1687.900,1537,2061,1.429,8,7
9,1687.908,1529,2092,1.450,9,8
10,1688.390,1502,2114,1.462,10,9
11,1688.487,1550,2072,1.475,11,10
12,1688.228,1531,2091,1.472,12,11
13,1688.744,1502,2112,1.485,13,12
14,1689.132,1534,2090,1.515,14,13
15,1688.241,1542,2112,1.549,15,14
16,1688.799,1536,2201,1.602,16,15
17,1689.072,1552,2143,1.599,17,16
18,1688.926,1538,2182,1.615,18,17
19,1689.704,1547,2160,1.617,19,18
20,1689.112,1546,2147,1.612,20,19
21,1689.904,1532,2165,1.645,21,20
22,1689.953,1538,2162,1.662,22,21
23,1690.807,1509,2167,1.683,23,22
24,1703.266,1537,2339,2.086,24,23
25,1739.098,1536,2469,2.148,25,24
26,1717.240,1519,2318,1.930,26,25
27,1726.051,1553,2410,1.990,27,26
28,1722.743,1519,2388,1.967,28,27
29,1728.156,1549,2421,2.016,29,28
30,1729.376,1550,2400,1.976,30,29
31,1726.671,1543,2863,2.277,31,30
32,1728.129,1534,3149,2.583,32,31
33,1729.617,1554,3369,2.652,33,32
34,1736.365,1542,3288,2.553,34,33
35,1703.027,1540,3179,3.742,35,34
36,1699.371,1550,3019,3.635,36,35
37,1701.853,1523,3466,5.314,37,36
38,1702.829,1542,3881,5.474,38,37
39,1701.507,1541,3685,5.265,39,38
40,1700.888,1538,3511,5.162,40,39
41,1699.656,1553,3468,4.927,41,40
42,1698.850,1549,3261,4.529,42,41
43,1699.852,1546,3587,5.326,43,42
44,1705.967,1547,3983,5.146,44,43
45,1710.394,1537,3951,4.664,45,44
46,1702.408,1532,3775,5.369,46,45
47,1705.339,1497,3867,4.638,47,46
48,1695.767,1546,3741,5.665,48,47
49,1696.570,1537,4157,7.399,49,48
50,1697.006,1547,4175,7.416,50,49
51,1696.467,1547,3985,7.005,51,50
52,1695.697,1545,3833,6.515,52,51
53,1694.653,1540,3823,5.992,53,52
54,1694.553,1548,3651,5.594,54,53
55,1696.042,1512,4099,7.098,55,54
56,1695.211,1544,4182,7.082,56,55
57,1695.711,1517,4089,6.679,57,56
58,1695.790,1533,3938,6.306,58,57
59,1694.452,1538,3830,5.924,59,58
60,1694.205,1538,3880,5.941,60,59
61,1695.446,1531,4274,7.216,61,60
62,1695.749,1538,3987,7.081,62,61
63,1695.157,1542,4043,6.675,63,62
64,1694.351,1551,3720,6.274,64,63
65,1693.815,1527,3587,5.815,65,64
66,1694.635,1533,3626,5.345,66,65
67,1695.703,1551,4138,6.921,67,66
68,1695.195,1551,3889,6.912,68,67
69,1694.770,1546,3962,6.597,69,68
70,1694.752,1534,3865,6.164,70,69
71,1694.225,1535,3658,5.763,71,70
72,1694.113,1535,3673,5.301,72,71
73,1693.339,1512,3545,4.773,73,72
74,1693.302,1551,3437,4.204,74,73
75,1694.307,1537,3766,6.089,75,74
76,1694.561,1538,3672,6.154,76,75
77,1694.425,1553,3594,5.894,77,76
78,1694.247,1539,3606,5.524,78,77
79,1693.527,1545,3444,5.071,79,78
80,1693.280,1529,3482,4.480,80,79
81,1692.806,1530,3123,3.999,81,80
82,1692.682,1531,3039,3.639,82,81
83,1694.758,1527,3498,5.575,83,82
84,1694.069,1533,3527,5.686,84,83
85,1694.032,1547,3528,5.441,85,84
86,1693.328,1543,3470,5.106,86,85
87,1693.540,1539,3333,4.694,87,86
88,1693.004,1536,3309,4.324,88,87
89,1692.632,1556,3241,3.969,89,88
90,1692.272,1530,3108,3.632,90,89
91,1692.034,1542,3176,3.369,91,90
92,1693.647,1533,3666,4.860,92,91
93,1693.891,1546,3597,5.703,93,92
94,1694.036,1533,3680,5.659,94,93
95,1693.648,1530,3412,5.187,95,94
96,1693.212,1543,3264,4.701,96,95
97,1693.046,1547,3074,4.185,97,96
98,1692.818,1550,3035,3.735,98,97
99,1692.087,1549,3008,3.354,99,98
100,1692.102,1533,2830,2.972,100,99
101,1691.790,1545,2724,2.738,101,100
102,1691.461,1514,2727,2.464,102,101
103,1691.018,1532,2584,2.255,103,102
104,1690.629,1544,2504,2.059,104,103
105,1693.230,1525,3172,4.389,105,104
106,1693.498,1534,3150,4.676,106,105
107,1693.403,1530,3097,4.406,107,106
108,1692.477,1552,2957,3.999,108,107
109,1692.935,1543,2823,3.588,109,108
110,1692.397,1531,2863,3.341,110,109
111,1692.391,1542,2721,3.029,111,110
112,1692.243,1544,2630,2.694,112,111
113,1693.042,1543,2952,3.951,113,112
114,1693.591,1532,3276,4.818,114,113
115,1694.100,1549,3047,4.547,115,114
116,1693.960,1540,2954,4.070,116,115
117,1692.869,1550,2879,3.761,117,116
118,1692.907,1541,2849,3.474,118,117
119,1693.452,1541,2797,3.112,119,118
120,1692.995,1529,2765,2.774,120,119
121,1694.204,1551,3019,4.430,121,120
122,1694.288,1536,3110,4.535,122,121
123,1694.437,1533,3041,4.252,123,122
124,1693.760,1544,2896,3.776,124,123
125,1693.045,1534,2823,3.396,125,124
126,1692.899,1539,2777,3.081,126,125
127,1692.850,1530,2616,2.766,127,126
128,1694.094,1545,2979,4.132,128,127
129,1694.045,1548,3086,4.212,129,128
130,1694.265,1522,3113,3.990,130,129
131,1693.887,1559,2934,3.569,131,130
132,1693.115,1547,2770,3.175,132,131
133,1692.648,1539,2708,2.894,133,132
134,1694.379,1544,2919,3.893,134,133
135,1693.756,1543,3203,4.032,135,134
136,1694.189,1520,3019,3.970,136,135
137,1693.609,1531,3020,3.636,137,136
138,1692.968,1522,2888,3.317,138,137
139,1692.980,1547,2841,2.997,139,138
140,1692.647,1516,2715,2.733,140,139
141,1694.917,1540,3117,3.574,141,140
142,1694.272,1526,3069,3.906,142,141
143,1693.824,1538,3009,3.762,143,142
144,1693.479,1542,2983,3.508,144,143
145,1693.319,1538,2932,3.203,145,144
146,1693.050,1542,2787,2.925,146,145
147,1692.805,1496,2615,2.664,147,146
148,1692.604,1539,2577,2.469,148,147
149,1692.511,1542,2503,2.335,149,148
150,1693.999,1530,2775,3.381,150,149
151,1693.794,1551,2856,3.404,151,150
152,1693.494,1543,2806,3.316,152,151
153,1693.452,1543,2702,3.061,153,152
154,1693.201,1531,2742,2.877,154,153
155,1693.200,1523,2556,2.616,155,154
156,1692.343,1522,2600,2.467,156,155
157,1691.635,1534,2522,2.305,157,156
158,1691.568,1550,2450,2.149,158,157
159,1691.547,1535,2415,2.041,159,158
160,1692.411,1550,2514,2.398,160,159
161,1692.896,1531,2744,3.138,161,160
162,1693.693,1536,2724,3.167,162,161
163,1693.360,1553,2693,3.037,163,162
164,1692.823,1540,2679,2.842,164,163
165,1692.951,1544,2555,2.658,165,164
166,1691.940,1534,2595,2.440,166,165
167,1691.768,1549,2455,2.264,167,166
168,1691.464,1533,2393,2.146,168,167
169,1691.590,1538,2350,2.030,169,168
170,1690.963,1521,2324,1.947,170,169
171,1693.200,1543,2705,2.938,171,170
172,1693.240,1541,2739,3.239,172,171
173,1693.324,1537,2681,3.135,173,172
174,1693.267,1541,2678,2.992,174,173
175,1692.331,1551,2566,2.791,175,174
176,1692.568,1537,2579,2.634,176,175
177,1692.589,1535,2546,2.449,177,176
178,1691.686,1543,2506,2.325,178,177
179,1692.542,1537,2465,2.410,179,178
180,1693.799,1536,2880,3.364,180,179
181,1693.344,1535,2905,3.506,181,180
182,1692.752,1532,2846,3.332,182,181
183,1693.068,1537,2794,3.165,183,182
184,1693.273,1506,2697,2.912,184,183
185,1692.439,1545,2663,2.736,185,184
186,1691.802,1527,2629,2.535,186,185
187,1692.469,1533,2602,2.426,187,186
188,1692.690,1537,2718,2.966,188,187
189,1693.855,1538,2860,3.507,189,188
190,1693.449,1512,2884,3.492,190,189
191,1693.429,1538,2845,3.313,191,190
192,1693.151,1547,2736,3.123,192,191
193,1692.951,1522,2648,2.870,193,192
194,1692.404,1544,2553,2.707,194,193
195,1691.873,1538,2524,2.531,195,194
196,1692.889,1507,2658,2.866,196,195
197,1693.890,1494,2876,3.388,197,196
198,1693.669,1547,2767,3.345,198,197
199,1693.142,1506,2772,3.223,199,198
200,1693.188,1535,2742,3.013,200,199
201,1692.884,1542,2721,2.838,201,200
202,1692.304,1531,2575,2.669,202,201
203,1692.669,1538,2555,2.601,203,202
204,1692.869,1539,2577,2.516,204,203
205,1693.418,1548,2558,2.651,205,204
206,1694.527,1539,2829,3.269,206,205
207,1694.342,1547,2876,3.277,207,206
208,1693.967,1520,2730,3.110,208,207
209,1693.072,1548,2709,2.943,209,208
210,1692.900,1527,2628,2.763,210,209
211,1692.629,1533,2514,2.603,211,210
212,1692.367,1553,2497,2.500,212,211
213,1691.938,1533,2472,2.358,213,212
214,1694.399,1542,2659,3.179,214,213
215,1694.115,1544,2774,3.214,215,214
216,1694.060,1540,2690,3.133,216,215
217,1693.684,1531,2678,2.923,217,216
218,1693.257,1512,2563,2.758,218,217
219,1692.317,1527,2514,2.657,219,218
220,1692.667,1502,2398,2.456,220,219
221,1692.030,1546,2432,2.373,221,220
222,1691.932,1535,2369,2.262,222,221
223,1692.268,1547,2387,2.459,223,222
