 ,Mean,Min,Max,Skew,Slice
1,1731.108,1535,24208,42.484,1
2,1737.332,1554,23828,42.154,2
3,1736.909,1542,23918,42.663,3
4,1735.533,1531,23813,42.895,4
5,1735.755,1550,23815,43.092,5
6,1735.815,1542,23597,42.639,6
7,1736.152,1515,23706,42.289,7
8,1736.183,1540,23855,42.431,8
9,1735.930,1535,23851,42.781,9
10,1735.647,1551,23751,43.013,10
11,1735.138,1545,23261,42.857,11
12,1735.125,1532,23809,43.155,12
13,1735.380,1548,23364,42.772,13
14,1735.829,1538,23592,42.388,14
15,1735.735,1551,23675,42.593,15
16,1735.261,1541,23471,42.572,16
17,1735.199,1540,23182,42.573,17
18,1735.394,1535,23410,43.287,18
19,1734.499,1536,23190,43.331,19
20,1734.926,1536,23317,43.096,20
21,1735.267,1553,23625,42.630,21
22,1734.319,1550,23285,42.652,22
23,1734.686,1532,23295,42.849,23
24,1734.632,1539,23246,43.150,24
25,1734.729,1525,23303,43.366,25
26,1734.024,1524,23103,43.540,26
27,1734.874,1544,23191,43.232,27
28,1734.308,1535,23264,42.853,28
29,1734.853,1540,23040,42.634,29
30,1734.845,1537,22967,42.952,30
31,1733.943,1544,22968,43.178,31
32,1734.161,1534,23256,43.523,32
33,1733.681,1547,23186,43.757,33
34,1734.018,1533,23071,43.715,34
35,1733.866,1534,23527,43.440,35
36,1734.380,1518,23249,42.973,36
37,1733.944,1536,23104,43.213,37
38,1734.157,1544,23060,43.350,38
39,1734.304,1533,23112,43.421,39
40,1733.142,1524,22868,43.702,40
41,1733.290,1526,23372,43.822,41
42,1732.988,1523,22654,43.733,42
43,1733.219,1538,23000,43.959,43
44,1733.556,1534,23152,43.244,44
45,1733.833,1546,22961,43.221,45
46,1733.940,1546,23212,43.463,46
47,1733.761,1543,22979,43.521,47
48,1733.712,1538,22914,43.705,48
49,1732.893,1535,22654,43.943,49
50,1733.321,1533,22860,43.927,50
51,1733.508,1548,22967,44.165,51
52,1733.356,1531,22967,44.417,52
53,1733.147,1547,22628,44.520,53
54,1732.766,1529,23028,44.515,54
55,1733.593,1534,22792,43.520,55
56,1733.277,1545,22591,43.173,56
57,1733.062,1540,22903,43.609,57
58,1732.765,1534,22719,43.732,58
59,1733.113,1547,22925,44.015,59
60,1732.793,1533,23080,44.315,60
61,1732.249,1530,22742,44.391,61
62,1732.437,1543,22734,44.460,62
63,1732.568,1506,22791,44.724,63
64,1732.491,1530,23010,44.787,64
65,1732.182,1541,22725,44.733,65
66,1732.073,1546,22797,45.364,66
67,1732.362,1525,22573,44.849,67
68,1732.812,1532,22573,43.903,68
69,1733.037,1530,22864,43.494,69
70,1733.162,1533,22722,43.722,70
71,1733.184,1524,22901,44.059,71
72,1732.445,1547,22226,43.724,72
73,1732.246,1532,22793,44.228,73
74,1732.327,1519,22564,44.647,74
75,1731.629,1543,22517,44.420,75
76,1731.844,1544,22755,44.804,76
77,1732.194,1528,22460,45.114,77
78,1731.841,1539,22345,44.896,78
79,1732.294,1521,22411,43.594,79
80,1732.605,1526,22647,43.496,80
81,1732.543,1505,22158,42.854,81
82,1733.172,1548,22497,42.994,82
83,1732.975,1526,22260,43.029,83
84,1733.204,1549,22453,42.987,84
85,1733.253,1540,22269,42.866,85
86,1732.977,1534,22232,42.953,86
87,1732.425,1537,22148,43.278,87
88,1732.338,1539,22128,43.492,88
89,1732.335,1547,21930,43.514,89
90,1732.105,1548,22159,44.042,90
91,1731.881,1517,22347,44.185,91
92,1731.501,1515,22261,44.376,92
93,1731.614,1539,22344,44.462,93
94,1731.296,1551,22218,44.515,94
95,1731.472,1524,22387,44.423,95
96,1732.228,1518,22257,44.671,96
97,1732.707,1513,22499,43.474,97
98,1732.995,1538,22048,43.170,98
99,1732.369,1543,22222,43.452,99
100,1732.248,1538,22407,43.833,100
101,1732.254,1534,22307,43.738,101
102,1731.525,1543,22445,44.090,102
103,1732.239,1549,22459,44.474,103
104,1732.181,1516,22078,44.368,104
105,1731.488,1523,21978,44.270,105
106,1732.213,1540,22533,44.581,106
107,1732.025,1525,22003,44.557,107
108,1731.691,1542,22014,44.651,108
109,1731.221,1517,22196,44.509,109
110,1731.557,1534,22074,44.643,110
111,1731.835,1541,21959,44.703,111
112,1731.175,1549,21833,44.462,112
113,1732.185,1525,22007,43.685,113
114,1732.315,1544,21827,43.212,114
115,1732.296,1506,22272,43.210,115
116,1731.427,1543,22303,43.607,116
117,1732.381,1533,22010,43.797,117
118,1731.845,1535,22196,43.699,118
119,1731.930,1529,21997,43.965,119
120,1731.285,1542,22176,44.153,120
121,1731.633,1543,21727,44.095,121
122,1731.573,1521,21839,44.078,122
123,1732.347,1551,22016,43.101,123
124,1732.244,1505,22266,43.212,124
125,1732.137,1557,22216,43.221,125
126,1731.524,1537,22252,43.498,126
127,1731.833,1545,21937,43.688,127
128,1731.867,1525,22262,43.683,128
129,1731.922,1543,21672,43.846,129
130,1731.700,1539,21774,44.149,130
131,1731.492,1552,21603,43.933,131
132,1732.351,1532,21614,42.960,132
133,1731.996,1540,22336,43.076,133
134,1731.395,1547,22122,43.420,134
135,1731.733,1533,22063,43.899,135
136,1731.426,1520,22254,43.777,136
137,1731.786,1536,22154,42.814,137
138,1732.063,1533,21985,42.787,138
