 ,Mean,Min,Max,Skew,Slice,microns
1,2481.528,1588,13598,1.677,1,0
2,2482.654,1595,13551,1.684,2,1
3,2477.681,1618,13572,1.696,3,2
4,2472.731,1601,13393,1.709,4,3
5,2473.676,1574,13599,1.705,5,4
6,2472.990,1615,13175,1.697,6,5
7,2471.185,1620,13521,1.702,7,6
8,2470.107,1585,13435,1.700,8,7
9,2466.942,1605,13587,1.712,9,8
10,2469.349,1601,13307,1.696,10,9
11,2467.845,1605,13597,1.699,11,10
12,2465.971,1601,13327,1.710,12,11
13,2463.096,1620,13599,1.723,13,12
14,2461.053,1601,13155,1.727,14,13
15,2463.984,1598,13431,1.705,15,14
16,2464.589,1619,13276,1.701,16,15
17,2462.514,1616,13499,1.710,17,16
18,2460.709,1601,13585,1.720,18,17
19,2459.100,1598,13159,1.726,19,18
20,2459.166,1617,13544,1.727,20,19
21,2461.640,1615,13261,1.707,21,20
22,2460.184,1611,13375,1.716,22,21
23,2457.789,1618,13446,1.723,23,22
24,2456.624,1596,13562,1.734,24,23
25,2455.293,1610,13290,1.741,25,24
26,2457.587,1590,13362,1.728,26,25
27,2459.030,1602,13497,1.712,27,26
28,2458.213,1586,13137,1.719,28,27
29,2456.465,1615,13509,1.730,29,28
30,2454.643,1600,13498,1.740,30,29
31,2453.668,1609,13398,1.747,31,30
32,2452.195,1613,13386,1.752,32,31
33,2451.771,1603,13254,1.756,33,32
34,2457.062,1616,13540,1.723,34,33
35,2455.863,1611,13298,1.729,35,34
36,2454.478,1579,13148,1.732,36,35
37,2453.057,1615,13232,1.740,37,36
38,2451.924,1612,13423,1.750,38,37
39,2450.564,1603,13645,1.759,39,38
40,2450.071,1618,13449,1.764,40,39
41,2448.909,1624,13525,1.769,41,40
42,2448.033,1614,13459,1.773,42,41
43,2452.897,1618,13190,1.743,43,42
44,2453.671,1595,13341,1.734,44,43
45,2452.889,1613,13688,1.743,45,44
46,2451.223,1617,13119,1.749,46,45
47,2450.121,1602,13491,1.758,47,46
48,2448.481,1605,13468,1.761,48,47
49,2447.301,1597,13563,1.770,49,48
50,2446.795,1593,13391,1.774,50,49
51,2446.184,1621,13408,1.774,51,50
52,2444.652,1621,13215,1.782,52,51
53,2444.407,1621,13482,1.787,53,52
54,2443.816,1616,13529,1.789,54,53
55,2443.521,1610,13189,1.792,55,54
56,2443.130,1601,13363,1.791,56,55
57,2442.826,1621,13382,1.794,57,56
58,2441.764,1587,13346,1.797,58,57
59,2441.882,1611,13522,1.800,59,58
60,2441.153,1610,13365,1.801,60,59
61,2440.397,1625,13387,1.802,61,60
62,2440.843,1592,13533,1.801,62,61
63,2440.798,1597,13502,1.802,63,62
64,2441.864,1614,13291,1.792,64,63
65,2446.776,1613,13595,1.766,65,64
66,2446.780,1613,13123,1.765,66,65
67,2445.738,1613,13374,1.770,67,66
68,2444.327,1614,13411,1.781,68,67
69,2442.902,1617,13837,1.785,69,68
70,2442.718,1600,13511,1.789,70,69
