 ,Mean,Min,Max,Skew,Slice,microns
1,1745.310,1583,2462,1.744,1,0
2,1740.472,1561,2461,1.814,2,1
3,1741.001,1569,2451,1.809,3,2
4,1740.854,1529,2399,1.750,4,3
5,1741.098,1544,2469,1.799,5,4
6,1741.304,1555,2452,1.883,6,5
7,1742.114,1565,2498,1.882,7,6
8,1742.497,1548,2564,1.826,8,7
9,1741.889,1568,2454,1.762,9,8
10,1742.097,1553,2542,1.817,10,9
11,1742.223,1550,2521,1.863,11,10
12,1742.413,1565,2445,1.835,12,11
13,1742.208,1564,2555,1.750,13,12
14,1741.895,1570,2350,1.687,14,13
15,1741.376,1549,2364,1.660,15,14
16,1741.771,1567,2402,1.673,16,15
17,1741.874,1556,2438,1.725,17,16
18,1742.194,1567,2485,1.702,18,17
19,1741.798,1557,2389,1.681,19,18
20,1741.767,1564,2369,1.639,20,19
21,1741.221,1556,2401,1.628,21,20
22,1741.956,1533,2501,1.733,22,21
23,1742.018,1546,2461,1.730,23,22
24,1742.326,1551,2489,1.701,24,23
25,1741.982,1549,2458,1.682,25,24
26,1741.462,1575,2458,1.665,26,25
27,1741.463,1563,2462,1.660,27,26
28,1741.834,1566,2504,1.780,28,27
29,1742.253,1557,2467,1.767,29,28
30,1741.662,1562,2478,1.723,30,29
31,1741.479,1563,2443,1.688,31,30
32,1741.522,1556,2454,1.677,32,31
33,1741.307,1565,2487,1.630,33,32
34,1741.888,1559,2510,1.733,34,33
35,1742.294,1558,2515,1.786,35,34
36,1741.809,1552,2525,1.756,36,35
37,1742.602,1560,2424,1.727,37,36
38,1742.190,1549,2518,1.688,38,37
39,1742.314,1553,2377,1.645,39,38
40,1742.219,1552,2450,1.643,40,39
41,1741.648,1556,2379,1.619,41,40
42,1741.786,1554,2429,1.643,42,41
43,1742.524,1556,2475,1.768,43,42
44,1742.827,1557,2481,1.716,44,43
45,1742.012,1516,2507,1.672,45,44
46,1741.878,1553,2422,1.640,46,45
47,1741.146,1562,2406,1.597,47,46
48,1741.601,1568,2399,1.580,48,47
49,1741.567,1565,2345,1.542,49,48
50,1741.359,1552,2305,1.526,50,49
51,1741.355,1574,2298,1.516,51,50
52,1741.932,1549,2357,1.598,52,51
53,1742.191,1555,2419,1.662,53,52
54,1741.987,1566,2377,1.642,54,53
55,1741.263,1557,2395,1.600,55,54
56,1741.414,1559,3129,1.647,56,55
57,1741.426,1563,2391,1.554,57,56
58,1740.881,1558,2467,1.545,58,57
59,1741.229,1536,2353,1.525,59,58
60,1741.548,1553,2439,1.513,60,59
61,1741.045,1558,2450,1.490,61,60
62,1742.266,1546,2452,1.619,62,61
63,1742.319,1535,2420,1.649,63,62
64,1741.865,1548,2405,1.626,64,63
65,1741.643,1534,2496,1.554,65,64
66,1741.422,1562,2444,1.546,66,65
67,1741.642,1560,2362,1.516,67,66
68,1741.170,1510,2395,1.500,68,67
69,1741.536,1550,2378,1.479,69,68
70,1741.475,1556,2396,1.475,70,69
71,1741.383,1552,2428,1.527,71,70
72,1741.674,1572,2439,1.648,72,71
73,1742.100,1566,2419,1.646,73,72
74,1741.432,1557,2408,1.595,74,73
75,1741.931,1557,2404,1.548,75,74
76,1741.370,1570,2400,1.529,76,75
77,1741.437,1572,2355,1.516,77,76
78,1741.745,1563,2417,1.490,78,77
79,1741.246,1553,2416,1.509,79,78
80,1741.514,1567,2357,1.551,80,79
81,1742.272,1547,2458,1.688,81,80
82,1742.143,1563,2431,1.661,82,81
83,1741.810,1559,2392,1.621,83,82
84,1741.717,1540,2422,1.598,84,83
85,1741.454,1548,2387,1.568,85,84
86,1741.744,1573,2339,1.529,86,85
87,1741.375,1568,2374,1.527,87,86
88,1741.452,1567,2386,1.505,88,87
89,1741.264,1554,2357,1.508,89,88
90,1742.569,1556,2468,1.636,90,89
91,1742.111,1527,2422,1.696,91,90
92,1741.456,1551,2459,1.661,92,91
93,1741.564,1577,2469,1.625,93,92
94,1741.223,1569,2429,1.584,94,93
95,1741.536,1565,2434,1.555,95,94
96,1741.564,1559,2441,1.556,96,95
97,1741.179,1559,2433,1.537,97,96
98,1741.133,1554,2453,1.545,98,97
99,1741.463,1560,2469,1.685,99,98
100,1741.503,1548,2540,1.748,100,99
