 ,Mean,Min,Max,Skew,Slice,microns
1,1870.614,1573,5901,2.938,1,0
2,1869.599,1584,5742,2.845,2,1
3,1871.676,1573,6356,2.964,3,2
4,1869.576,1590,6049,2.898,4,3
5,1868.182,1569,6036,2.844,5,4
6,1871.094,1583,6346,2.937,6,5
7,1868.653,1540,6292,2.849,7,6
8,1868.612,1576,6497,2.901,8,7
9,1868.398,1547,6101,2.901,9,8
10,1867.179,1559,6092,2.804,10,9
11,1868.301,1582,6214,2.905,11,10
12,1867.033,1578,5993,2.873,12,11
13,1860.680,1562,5754,2.774,13,12
14,1861.304,1559,6968,2.904,14,13
15,1866.202,1592,6217,2.836,15,14
16,1865.974,1572,5508,2.747,16,15
17,1867.864,1588,6694,2.888,17,16
18,1865.852,1584,6477,2.819,18,17
19,1864.379,1574,5848,2.724,19,18
20,1866.898,1580,7036,2.880,20,19
21,1865.553,1588,6843,2.814,21,20
22,1864.131,1572,6050,2.707,22,21
23,1866.407,1581,7264,2.858,23,22
24,1865.391,1582,7028,2.807,24,23
25,1864.442,1563,6279,2.710,25,24
26,1862.294,1573,5274,2.636,26,25
27,1865.765,1575,6595,2.810,27,26
28,1864.261,1568,5901,2.743,28,27
29,1862.045,1583,5243,2.662,29,28
30,1862.552,1579,5176,2.657,30,29
31,1864.835,1586,6013,2.779,31,30
32,1863.174,1586,5334,2.697,32,31
33,1861.949,1561,5058,2.646,33,32
34,1864.332,1582,5942,2.805,34,33
35,1862.786,1580,5424,2.718,35,34
36,1860.700,1589,4918,2.638,36,35
37,1863.744,1567,5987,2.796,37,36
38,1862.565,1581,5651,2.737,38,37
39,1860.650,1590,5039,2.656,39,38
40,1859.326,1567,5016,2.600,40,39
41,1863.085,1589,5531,2.773,41,40
42,1862.337,1585,5283,2.706,42,41
43,1860.060,1572,5151,2.629,43,42
44,1858.465,1584,5050,2.580,44,43
45,1861.966,1572,5467,2.753,45,44
46,1861.258,1581,5046,2.701,46,45
47,1859.987,1570,4856,2.633,47,46
48,1858.732,1568,5071,2.599,48,47
49,1862.364,1587,5925,2.749,49,48
50,1860.846,1580,5577,2.707,50,49
51,1859.631,1571,5073,2.648,51,50
52,1857.828,1576,4879,2.608,52,51
53,1861.311,1591,6197,2.758,53,52
54,1860.254,1556,5705,2.701,54,53
55,1858.278,1581,5074,2.648,55,54
56,1857.084,1571,5000,2.609,56,55
57,1857.342,1582,5036,2.629,57,56
58,1859.670,1579,5708,2.729,58,57
59,1858.328,1591,5274,2.682,59,58
60,1856.826,1554,5089,2.637,60,59
61,1858.619,1581,5402,2.689,61,60
62,1859.440,1591,5926,2.747,62,61
63,1858.035,1585,5352,2.697,63,62
64,1859.811,1572,6005,2.767,64,63
65,1859.609,1573,5903,2.784,65,64
66,1858.299,1568,5313,2.723,66,65
67,1859.513,1571,5899,2.791,67,66
68,1859.443,1575,5617,2.801,68,67
69,1858.075,1561,5202,2.738,69,68
70,1856.449,1587,5060,2.698,70,69
71,1859.255,1563,5324,2.798,71,70
72,1858.378,1582,5306,2.791,72,71
73,1856.852,1566,5335,2.729,73,72
74,1857.322,1591,5211,2.747,74,73
75,1858.429,1573,5438,2.812,75,74
76,1857.252,1572,5232,2.760,76,75
77,1855.632,1571,5375,2.713,77,76
78,1858.771,1581,5663,2.823,78,77
79,1857.770,1561,5435,2.776,79,78
80,1855.655,1582,5464,2.726,80,79
81,1855.882,1574,5521,2.723,81,80
82,1857.761,1588,5641,2.804,82,81
83,1856.433,1580,5489,2.746,83,82
84,1855.121,1581,5259,2.710,84,83
85,1854.785,1555,5229,2.702,85,84
86,1857.711,1583,5676,2.780,86,85
87,1856.813,1576,5408,2.745,87,86
88,1854.952,1580,5313,2.703,88,87
89,1857.548,1583,5971,2.792,89,88
90,1856.505,1595,5633,2.774,90,89
91,1855.203,1579,5557,2.730,91,90
92,1857.002,1578,5649,2.761,92,91
93,1857.001,1580,5916,2.797,93,92
94,1858.608,1584,6684,2.881,94,93
95,1857.392,1560,6162,2.827,95,94
96,1858.680,1547,6865,2.896,96,95
97,1857.664,1584,6332,2.852,97,96
98,1855.814,1579,5866,2.779,98,97
99,1857.967,1588,6539,2.862,99,98
