 ,Mean,Min,Max,Skew,Slice,microns
1,1654.454,1527,2613,2.829,1,0
2,1658.585,1532,2487,2.681,2,1
3,1659.002,1525,2504,2.526,3,2
4,1659.119,1529,2534,2.588,4,3
5,1659.476,1518,2579,2.769,5,4
6,1659.303,1534,2549,2.584,6,5
7,1658.705,1523,2444,2.428,7,6
8,1659.334,1512,2481,2.722,8,7
9,1659.275,1518,2452,2.659,9,8
10,1659.298,1528,2397,2.490,10,9
11,1659.206,1523,2346,2.326,11,10
12,1659.542,1525,2398,2.646,12,11
13,1659.325,1525,2441,2.585,13,12
14,1659.195,1537,2418,2.469,14,13
15,1658.374,1485,2326,2.349,15,14
16,1659.714,1540,2344,2.429,16,15
17,1658.833,1525,2458,2.576,17,16
18,1658.957,1532,2472,2.475,18,17
19,1658.759,1537,2326,2.329,19,18
20,1659.074,1532,2401,2.199,20,19
21,1659.052,1533,2335,2.465,21,20
22,1659.294,1525,2401,2.492,22,21
23,1658.658,1525,2305,2.392,23,22
24,1659.288,1507,2329,2.321,24,23
25,1658.816,1534,2245,2.214,25,24
26,1659.252,1527,2336,2.323,26,25
27,1659.019,1514,2335,2.439,27,26
28,1659.135,1519,2357,2.378,28,27
29,1659.080,1537,2287,2.299,29,28
30,1658.498,1514,2347,2.225,30,29
31,1658.245,1527,2359,2.207,31,30
32,1659.404,1517,2315,2.450,32,31
33,1659.162,1535,2369,2.366,33,32
34,1659.004,1537,2280,2.290,34,33
35,1658.235,1534,2273,2.227,35,34
36,1659.419,1505,2313,2.325,36,35
37,1659.401,1495,2329,2.479,37,36
38,1658.768,1526,2279,2.359,38,37
39,1659.669,1522,2330,2.284,39,38
40,1658.666,1507,3041,2.392,40,39
41,1658.882,1506,2252,2.204,41,40
42,1659.325,1532,2367,2.424,42,41
43,1658.615,1520,2332,2.382,43,42
44,1659.671,1534,2308,2.300,44,43
45,1658.882,1515,2304,2.217,45,44
46,1659.069,1512,2280,2.142,46,45
47,1659.254,1528,2314,2.435,47,46
48,1659.525,1519,2257,2.381,48,47
49,1659.099,1533,2253,2.286,49,48
50,1658.505,1527,2205,2.207,50,49
51,1658.984,1513,2284,2.160,51,50
52,1658.397,1528,2226,2.168,52,51
53,1659.332,1525,2300,2.366,53,52
54,1659.026,1532,2359,2.355,54,53
55,1658.452,1523,2244,2.298,55,54
56,1658.938,1516,2252,2.222,56,55
57,1658.643,1524,2257,2.203,57,56
58,1659.059,1531,2312,2.379,58,57
59,1659.422,1532,2377,2.446,59,58
60,1659.204,1525,2363,2.400,60,59
61,1658.845,1516,2362,2.324,61,60
62,1659.338,1507,2285,2.409,62,61
63,1659.654,1523,2480,2.539,63,62
64,1659.649,1517,2425,2.488,64,63
65,1659.914,1503,2516,2.612,65,64
66,1659.659,1518,2474,2.629,66,65
67,1659.676,1533,2429,2.580,67,66
68,1659.727,1508,2405,2.742,68,67
69,1659.484,1524,2402,2.675,69,68
70,1660.055,1531,2411,2.755,70,69
71,1659.749,1528,2436,2.740,71,70
72,1659.748,1530,2374,2.652,72,71
73,1659.586,1526,2448,2.779,73,72
74,1659.728,1511,2400,2.708,74,73
75,1659.275,1542,2332,2.666,75,74
76,1660.270,1514,2438,2.755,76,75
77,1659.735,1529,2378,2.701,77,76
78,1659.987,1510,2357,2.674,78,77
79,1659.900,1533,2368,2.750,79,78
80,1659.911,1512,2484,2.759,80,79
81,1659.619,1521,2439,2.661,81,80
82,1660.124,1524,2397,2.747,82,81
83,1659.562,1529,2456,2.734,83,82
84,1659.615,1519,2436,2.666,84,83
85,1659.214,1526,2381,2.635,85,84
86,1659.533,1488,2382,2.709,86,85
87,1659.786,1504,2331,2.707,87,86
88,1659.427,1532,2345,2.637,88,87
89,1660.016,1529,2359,2.602,89,88
90,1659.705,1503,2379,2.721,90,89
91,1659.481,1521,2389,2.744,91,90
92,1659.199,1519,2343,2.650,92,91
93,1659.006,1510,2296,2.609,93,92
94,1659.303,1502,2357,2.554,94,93
95,1659.730,1530,2344,2.722,95,94
96,1659.729,1535,2381,2.688,96,95
97,1659.111,1526,2345,2.627,97,96
98,1659.318,1509,2417,2.585,98,97
99,1658.717,1505,2330,2.533,99,98
100,1660.099,1536,2344,2.646,100,99
101,1659.771,1533,2343,2.625,101,100
102,1659.122,1509,2439,2.563,102,101
103,1658.796,1528,2433,2.532,103,102
104,1658.829,1532,2359,2.475,104,103
105,1659.259,1511,2330,2.442,105,104
106,1659.796,1526,2283,2.558,106,105
107,1659.935,1502,2313,2.600,107,106
108,1659.620,1504,2369,2.534,108,107
109,1659.730,1519,2318,2.490,109,108
110,1659.289,1529,2257,2.410,110,109
111,1658.783,1520,2298,2.398,111,110
112,1658.407,1528,2302,2.363,112,111
113,1658.627,1525,2341,2.353,113,112
114,1659.133,1536,2303,2.529,114,113
115,1658.714,1524,2270,2.492,115,114
116,1659.620,1520,2299,2.464,116,115
117,1658.965,1537,2365,2.391,117,116
118,1658.701,1537,2285,2.352,118,117
119,1658.456,1515,2254,2.318,119,118
120,1658.272,1519,2311,2.267,120,119
121,1658.690,1526,2232,2.226,121,120
122,1658.693,1521,2226,2.214,122,121
123,1658.376,1530,2147,2.175,123,122
124,1658.575,1531,2247,2.337,124,123
125,1658.961,1522,2325,2.357,125,124
126,1659.092,1537,2286,2.296,126,125
