 ,Mean,Min,Max,Skew,Slice,microns
1,1852.472,1591,4156,2.318,1,0
2,1857.670,1599,4161,2.308,2,1
3,1856.212,1610,3924,2.293,3,2
4,1855.801,1598,4001,2.307,4,3
5,1856.781,1604,4201,2.356,5,4
6,1856.640,1604,4271,2.344,6,5
7,1855.006,1605,4166,2.327,7,6
8,1854.305,1596,4047,2.308,8,7
9,1853.626,1604,4011,2.296,9,8
10,1855.440,1592,4516,2.371,10,9
11,1854.520,1594,4458,2.359,11,10
12,1854.248,1597,4149,2.324,12,11
13,1852.953,1597,4097,2.306,13,12
14,1852.680,1588,3980,2.288,14,13
15,1854.549,1581,4618,2.342,15,14
16,1854.510,1570,4450,2.344,16,15
17,1854.018,1583,4130,2.314,17,16
18,1853.769,1606,4091,2.295,18,17
19,1852.811,1592,3818,2.281,19,18
20,1852.792,1597,3714,2.267,20,19
21,1854.557,1594,4432,2.324,21,20
22,1853.595,1584,4287,2.315,22,21
23,1853.103,1591,4068,2.295,23,22
24,1852.674,1570,3888,2.273,24,23
25,1852.576,1601,3496,2.260,25,24
26,1853.865,1586,4175,2.297,26,25
27,1854.116,1599,4280,2.315,27,26
28,1853.469,1596,4113,2.295,28,27
29,1853.468,1590,3932,2.280,29,28
30,1852.692,1592,3559,2.267,30,29
31,1851.845,1565,3517,2.260,31,30
32,1853.367,1582,4450,2.298,32,31
33,1853.165,1571,3949,2.300,33,32
34,1852.698,1592,3921,2.280,34,33
35,1852.558,1606,3783,2.272,35,34
36,1852.130,1593,4005,2.267,36,35
37,1852.487,1602,3919,2.266,37,36
38,1853.106,1550,4395,2.305,38,37
39,1853.227,1583,4179,2.294,39,38
40,1852.539,1575,3966,2.280,40,39
41,1851.614,1594,3780,2.266,41,40
42,1851.463,1599,3447,2.260,42,41
43,1853.568,1580,4175,2.299,43,42
44,1853.004,1562,4503,2.298,44,43
45,1852.685,1592,4430,2.280,45,44
46,1852.279,1591,4092,2.266,46,45
47,1850.891,1587,3866,2.252,47,46
48,1853.004,1589,4752,2.295,48,47
49,1852.964,1580,4228,2.298,49,48
50,1851.884,1577,3829,2.276,50,49
51,1851.372,1589,3482,2.258,51,50
52,1851.543,1577,3312,2.253,52,51
53,1852.947,1581,3571,2.275,53,52
54,1853.209,1595,3679,2.284,54,53
55,1853.279,1594,3572,2.272,55,54
56,1853.201,1582,3495,2.257,56,55
57,1853.103,1578,3370,2.251,57,56
58,1853.488,1588,3452,2.254,58,57
59,1854.474,1590,4051,2.293,59,58
60,1853.780,1559,3934,2.284,60,59
61,1852.913,1588,3470,2.264,61,60
62,1852.717,1593,3449,2.256,62,61
63,1851.811,1553,3422,2.246,63,62
64,1852.008,1578,3456,2.247,64,63
65,1853.369,1587,3712,2.286,65,64
66,1852.358,1595,3571,2.269,66,65
67,1851.862,1591,3415,2.263,67,66
68,1851.500,1585,3481,2.252,68,67
69,1851.331,1588,3370,2.251,69,68
70,1851.493,1587,3406,2.246,70,69
71,1852.572,1597,4125,2.282,71,70
72,1851.878,1595,3774,2.280,72,71
73,1851.901,1596,3609,2.270,73,72
74,1851.644,1605,3505,2.255,74,73
75,1851.173,1596,3382,2.253,75,74
76,1851.133,1593,3454,2.250,76,75
77,1851.223,1587,3450,2.246,77,76
78,1853.244,1590,4229,2.281,78,77
79,1852.845,1588,4040,2.275,79,78
80,1852.136,1598,3883,2.262,80,79
81,1852.179,1571,3747,2.256,81,80
82,1851.582,1596,3489,2.249,82,81
83,1851.945,1594,3484,2.251,83,82
84,1851.283,1581,3459,2.254,84,83
85,1853.041,1590,3968,2.266,85,84
86,1853.511,1596,4228,2.281,86,85
87,1852.558,1603,3971,2.270,87,86
88,1851.876,1588,3902,2.263,88,87
89,1851.436,1573,3622,2.258,89,88
90,1851.320,1599,3398,2.251,90,89
91,1850.957,1602,3355,2.249,91,90
92,1850.604,1594,3400,2.249,92,91
93,1850.254,1590,3407,2.248,93,92
94,1852.700,1590,3981,2.271,94,93
95,1852.594,1600,4167,2.286,95,94
96,1851.789,1597,3970,2.267,96,95
97,1851.187,1568,3688,2.261,97,96
98,1850.484,1601,3360,2.254,98,97
99,1850.666,1602,3405,2.256,99,98
100,1849.847,1596,3403,2.250,100,99
101,1850.309,1583,3410,2.247,101,100
102,1850.186,1584,3211,2.246,102,101
103,1849.523,1544,3323,2.249,103,102
104,1849.572,1606,3524,2.251,104,103
105,1849.751,1594,3232,2.255,105,104
106,1849.234,1596,3332,2.254,106,105
107,1849.393,1606,3376,2.257,107,106
108,1849.594,1585,3432,2.251,108,107
109,1850.031,1601,3361,2.249,109,108
110,1849.785,1598,3278,2.249,110,109
111,1849.214,1591,3377,2.253,111,110
112,1849.022,1575,3287,2.255,112,111
113,1848.239,1605,3390,2.253,113,112
114,1848.391,1590,3197,2.256,114,113
115,1848.293,1589,3252,2.252,115,114
116,1848.024,1597,3353,2.254,116,115
117,1847.900,1606,3387,2.254,117,116
118,1847.978,1596,3238,2.254,118,117
119,1847.818,1597,3314,2.249,119,118
120,1847.698,1589,3504,2.256,120,119
121,1847.024,1590,3335,2.254,121,120
122,1847.356,1605,3282,2.249,122,121
