 ,Mean,Min,Max,Skew,Slice
1,1714.032,1530,7221,8.295,1
2,1714.146,1529,6985,8.237,2
3,1714.139,1525,7133,8.212,3
4,1714.404,1545,7088,8.195,4
5,1714.427,1527,7082,8.365,5
6,1714.691,1525,7257,8.286,6
7,1714.238,1527,7159,8.276,7
8,1714.057,1535,7095,8.290,8
9,1713.794,1540,7089,8.219,9
10,1713.908,1542,7177,8.204,10
11,1713.665,1543,7304,8.310,11
12,1714.106,1521,7189,8.312,12
13,1714.214,1532,6996,8.230,13
14,1714.040,1526,7151,8.225,14
15,1714.456,1506,7109,8.123,15
16,1714.397,1543,7206,8.329,16
17,1714.587,1547,7312,8.263,17
18,1714.261,1542,7327,8.274,18
19,1714.263,1538,7288,8.285,19
20,1714.531,1543,7179,8.269,20
21,1714.694,1527,7355,8.108,21
22,1714.398,1541,7016,8.054,22
23,1714.285,1550,7154,8.114,23
24,1715.065,1540,7255,8.083,24
25,1714.981,1539,6992,8.081,25
26,1714.584,1528,7211,8.249,26
27,1714.664,1514,7231,8.121,27
28,1714.598,1534,7321,8.117,28
29,1714.821,1539,7312,8.208,29
30,1715.355,1557,6986,8.064,30
31,1714.468,1525,7216,8.298,31
32,1715.360,1532,7241,8.174,32
33,1714.234,1540,7059,8.143,33
34,1715.040,1526,7153,8.325,34
35,1715.309,1548,7091,8.217,35
36,1715.014,1527,6993,8.161,36
37,1714.359,1508,6987,8.153,37
38,1715.338,1546,7194,8.189,38
39,1714.565,1537,7196,8.180,39
40,1714.450,1536,7236,8.120,40
41,1714.187,1534,7147,8.092,41
42,1714.099,1547,7331,8.205,42
43,1714.434,1542,7146,8.097,43
44,1714.236,1544,7159,8.048,44
45,1714.559,1523,7025,8.111,45
46,1714.967,1532,7047,8.114,46
47,1714.534,1553,7118,8.151,47
48,1714.877,1534,6981,8.143,48
49,1714.583,1541,7021,8.150,49
50,1714.767,1538,7045,8.091,50
51,1714.904,1529,7136,8.055,51
52,1714.981,1547,7014,8.034,52
53,1714.792,1550,7293,8.157,53
54,1714.973,1537,7092,8.146,54
55,1715.124,1546,7199,8.142,55
56,1714.166,1535,7198,8.171,56
