 ,Mean,Min,Max,Skew,Slice,inches
1,14.557,0,255,3.893,1,0
2,15.035,0,255,3.844,2,1
3,15.037,1,255,3.852,3,2
4,15.021,0,255,3.869,4,3
5,14.993,0,252,3.854,5,4
6,15.002,0,248,3.844,6,5
7,15.014,0,253,3.827,7,6
8,14.944,0,246,3.834,8,7
9,14.922,1,248,3.836,9,8
10,14.970,2,255,3.849,10,9
11,14.956,0,249,3.855,11,10
12,14.958,1,255,3.859,12,11
13,14.960,0,255,3.848,13,12
14,14.943,1,255,3.871,14,13
15,14.943,2,250,3.861,15,14
16,14.965,0,251,3.869,16,15
17,14.926,1,250,3.874,17,16
18,14.961,2,255,3.901,18,17
19,14.895,0,253,3.887,19,18
20,14.912,0,252,3.886,20,19
21,14.882,1,250,3.867,21,20
22,14.921,1,255,3.870,22,21
23,14.920,0,252,3.884,23,22
24,14.910,1,251,3.872,24,23
25,14.960,1,245,3.866,25,24
26,14.955,0,255,3.867,26,25
27,14.911,2,253,3.875,27,26
28,14.927,1,252,3.882,28,27
29,14.936,1,240,3.874,29,28
30,14.914,1,245,3.878,30,29
31,14.895,0,255,3.888,31,30
32,14.889,1,247,3.900,32,31
33,14.870,1,249,3.883,33,32
34,14.860,1,255,3.877,34,33
35,14.893,0,254,3.860,35,34
36,14.888,0,255,3.860,36,35
37,14.894,1,250,3.859,37,36
38,14.948,0,251,3.871,38,37
39,14.901,0,253,3.873,39,38
40,14.864,1,240,3.872,40,39
41,14.859,1,246,3.864,41,40
42,14.834,0,252,3.879,42,41
43,14.812,0,240,3.880,43,42
44,14.897,0,246,3.887,44,43
45,14.861,1,239,3.897,45,44
46,14.845,1,248,3.892,46,45
47,14.859,0,244,3.856,47,46
48,14.919,1,246,3.859,48,47
49,14.867,1,249,3.846,49,48
50,14.913,0,243,3.881,50,49
51,14.857,0,253,3.871,51,50
52,14.881,0,244,3.876,52,51
53,14.841,2,254,3.893,53,52
54,14.840,1,249,3.886,54,53
55,14.846,0,255,3.894,55,54
56,14.786,0,242,3.884,56,55
57,14.820,2,249,3.892,57,56
58,14.829,1,255,3.870,58,57
59,14.857,1,245,3.876,59,58
60,14.848,0,244,3.873,60,59
61,14.871,0,243,3.862,61,60
62,14.823,1,244,3.884,62,61
63,14.806,1,255,3.885,63,62
64,14.814,1,245,3.880,64,63
65,14.864,1,250,3.863,65,64
66,14.809,0,242,3.869,66,65
67,14.812,1,242,3.868,67,66
68,14.788,0,242,3.885,68,67
69,14.795,0,255,3.895,69,68
70,14.801,0,247,3.865,70,69
71,14.818,1,248,3.868,71,70
72,14.799,0,248,3.888,72,71
73,14.773,0,243,3.864,73,72
74,14.824,0,252,3.877,74,73
75,14.838,0,243,3.869,75,74
76,14.810,2,252,3.882,76,75
77,14.772,0,245,3.884,77,76
