 ,Mean,Min,Max,Skew,Slice,microns
1,1620.711,1517,2196,2.011,1,0
2,1620.429,1518,2201,2.016,2,1
3,1620.534,1494,2130,1.975,3,2
4,1620.657,1513,2140,1.987,4,3
5,1620.828,1501,2187,2.139,5,4
6,1620.820,1505,2145,2.089,6,5
7,1620.819,1498,2129,2.047,7,6
8,1620.495,1518,2156,2.035,8,7
9,1621.167,1514,2174,2.005,9,8
10,1620.873,1508,2182,1.944,10,9
11,1620.478,1503,2204,1.972,11,10
12,1620.714,1494,2214,1.948,12,11
13,1620.275,1504,2153,1.927,13,12
14,1621.139,1516,2164,1.946,14,13
15,1620.681,1508,2232,2.055,15,14
16,1620.686,1490,2215,2.036,16,15
17,1621.046,1490,2098,2.014,17,16
18,1620.811,1499,2175,1.987,18,17
19,1621.004,1503,2149,1.981,19,18
20,1620.692,1505,2185,1.954,20,19
21,1620.401,1507,2143,1.934,21,20
22,1620.592,1505,2114,1.927,22,21
23,1620.779,1507,2165,1.920,23,22
24,1621.167,1507,2165,1.932,24,23
25,1620.178,1503,2186,1.943,25,24
26,1620.278,1490,2179,1.910,26,25
27,1620.320,1511,2162,1.969,27,26
28,1620.416,1483,2157,2.023,28,27
29,1620.187,1493,2179,2.016,29,28
30,1620.457,1494,2216,1.989,30,29
31,1619.954,1494,2117,1.963,31,30
32,1619.947,1483,2151,1.935,32,31
33,1619.790,1491,2153,1.936,33,32
34,1620.220,1511,2174,1.943,34,33
35,1620.511,1505,2149,1.864,35,34
36,1620.513,1513,2164,1.902,36,35
37,1620.150,1509,2175,1.916,37,36
38,1620.658,1486,2189,1.954,38,37
39,1620.966,1523,2165,2.024,39,38
40,1620.855,1485,2145,1.984,40,39
41,1620.672,1514,2149,1.958,41,40
42,1620.429,1477,2154,1.950,42,41
43,1620.863,1512,2168,2.092,43,42
44,1621.111,1515,2099,2.066,44,43
45,1620.363,1513,2108,2.045,45,44
46,1620.772,1502,2201,2.005,46,45
47,1621.003,1507,2163,2.093,47,46
48,1620.755,1491,2170,2.150,48,47
49,1620.945,1513,2169,2.116,49,48
50,1620.406,1519,2164,2.062,50,49
51,1620.411,1482,2164,2.012,51,50
52,1620.501,1517,2200,1.948,52,51
53,1620.637,1500,2181,1.906,53,52
54,1620.474,1507,2152,1.895,54,53
55,1620.889,1518,2172,2.079,55,54
56,1620.457,1495,2209,2.085,56,55
57,1620.848,1510,2166,2.031,57,56
58,1621.078,1507,2170,1.981,58,57
59,1620.797,1518,2180,1.926,59,58
60,1620.806,1511,2184,1.912,60,59
61,1620.353,1474,2204,1.872,61,60
62,1620.228,1496,2159,1.859,62,61
63,1620.005,1511,2144,1.813,63,62
64,1619.870,1503,2150,1.828,64,63
65,1620.603,1494,2222,1.831,65,64
66,1619.994,1499,2178,1.820,66,65
67,1619.686,1504,2203,1.843,67,66
68,1620.454,1503,2126,1.810,68,67
69,1620.249,1519,2156,1.804,69,68
70,1620.523,1503,2160,1.801,70,69
71,1620.332,1505,2160,1.778,71,70
72,1620.097,1512,2127,1.776,72,71
73,1620.436,1489,2133,1.757,73,72
74,1620.264,1486,2133,1.782,74,73
75,1620.196,1509,2097,1.742,75,74
