 ,Mean,Min,Max,Skew,Slice,microns
1,1737.430,1547,2268,1.688,1,0
2,1732.508,1555,2272,1.626,2,1
3,1732.250,1525,2302,1.574,3,2
4,1732.741,1534,2268,1.563,4,3
5,1732.925,1531,2298,1.605,5,4
6,1734.109,1559,2262,1.662,6,5
7,1733.926,1541,2282,1.642,7,6
8,1733.808,1539,2297,1.603,8,7
9,1733.489,1551,2261,1.577,9,8
10,1734.062,1571,2239,1.532,10,9
11,1734.771,1558,2287,1.700,11,10
12,1734.333,1527,2266,1.694,12,11
13,1734.383,1525,2265,1.707,13,12
14,1734.265,1555,2239,1.652,14,13
15,1734.515,1553,2300,1.616,15,14
16,1734.419,1567,2233,1.584,16,15
17,1734.378,1564,2237,1.684,17,16
18,1734.473,1558,2318,1.713,18,17
19,1734.380,1557,2401,1.668,19,18
20,1734.261,1534,2223,1.625,20,19
21,1733.587,1555,2357,1.580,21,20
22,1733.906,1564,2322,1.546,22,21
23,1734.722,1544,2274,1.628,23,22
24,1734.628,1542,2304,1.690,24,23
25,1734.424,1558,2223,1.635,25,24
26,1733.745,1559,2263,1.598,26,25
27,1734.241,1530,2227,1.577,27,26
28,1733.524,1538,2252,1.534,28,27
29,1733.373,1557,2193,1.555,29,28
30,1734.323,1530,2222,1.677,30,29
31,1734.557,1560,2211,1.638,31,30
32,1733.862,1541,2229,1.601,32,31
33,1733.805,1564,2217,1.572,33,32
34,1734.170,1560,2276,1.546,34,33
35,1734.480,1538,2301,1.698,35,34
36,1734.343,1562,2286,1.664,36,35
37,1734.359,1526,2253,1.609,37,36
38,1734.256,1543,2258,1.565,38,37
39,1733.687,1569,2267,1.530,39,38
40,1734.470,1542,2224,1.664,40,39
41,1734.792,1560,2286,1.668,41,40
42,1734.926,1562,2323,1.603,42,41
43,1734.601,1562,2230,1.556,43,42
44,1733.337,1537,2234,1.546,44,43
45,1733.655,1544,2299,1.624,45,44
46,1734.446,1558,2247,1.667,46,45
47,1734.506,1526,2217,1.624,47,46
