 ,Mean,Min,Max,Skew,Slice,microns
1,1712.873,1565,2597,2.200,1,0
2,1708.013,1551,2659,2.236,2,1
3,1708.797,1547,11733,36.376,3,2
4,1709.255,1551,2619,2.240,4,3
5,1709.005,1527,4948,3.939,5,4
6,1708.482,1523,2624,2.287,6,5
7,1708.784,1528,2642,2.332,7,6
8,1708.870,1533,2630,2.368,8,7
9,1709.130,1550,2688,2.352,9,8
10,1708.562,1549,2746,2.391,10,9
11,1708.976,1561,2717,2.388,11,10
12,1715.533,1542,2687,2.497,12,11
13,1719.806,1561,2727,2.584,13,12
14,1720.020,1544,2758,2.589,14,13
15,1719.684,1548,2711,2.641,15,14
16,1720.479,1545,2659,2.630,16,15
17,1720.476,1549,2586,2.602,17,16
18,1720.107,1506,2700,2.640,18,17
19,1720.609,1549,2654,2.649,19,18
20,1720.627,1550,2645,2.609,20,19
21,1721.973,1553,2631,2.549,21,20
22,1721.958,1517,2631,2.531,22,21
23,1722.183,1556,2648,2.505,23,22
24,1722.256,1570,2659,2.574,24,23
25,1722.300,1530,2607,2.604,25,24
26,1722.168,1547,2637,2.606,26,25
27,1721.933,1549,2643,2.595,27,26
28,1722.632,1557,2767,2.755,28,27
29,1723.162,1562,2776,2.761,29,28
30,1722.969,1556,2743,2.712,30,29
31,1722.534,1553,2633,2.655,31,30
32,1722.745,1544,2628,2.626,32,31
33,1722.939,1538,2740,2.818,33,32
34,1722.151,1551,2691,2.819,34,33
35,1722.765,1529,2715,2.743,35,34
36,1722.034,1562,2715,2.671,36,35
37,1722.812,1552,2791,2.845,37,36
38,1722.643,1549,2779,2.843,38,37
39,1722.556,1562,2740,2.784,39,38
40,1722.221,1539,2721,2.717,40,39
41,1722.662,1535,2963,2.943,41,40
42,1722.511,1560,2932,2.938,42,41
43,1723.249,1568,2847,2.842,43,42
44,1722.396,1559,2851,2.718,44,43
45,1723.145,1544,2924,2.931,45,44
46,1723.099,1529,2819,2.888,46,45
47,1722.812,1550,2829,2.825,47,46
48,1722.641,1559,2705,2.733,48,47
49,1722.702,1560,2837,2.897,49,48
50,1723.147,1559,2838,2.886,50,49
51,1723.308,1543,2726,2.827,51,50
52,1722.974,1510,2700,2.756,52,51
53,1722.977,1568,2633,2.689,53,52
54,1723.269,1542,2755,2.861,54,53
55,1723.838,1539,2687,2.849,55,54
56,1722.616,1538,2549,2.723,56,55
57,1722.244,1553,2483,2.637,57,56
58,1722.428,1548,2398,2.519,58,57
59,1722.024,1544,2590,2.534,59,58
60,1722.017,1522,2760,2.521,60,59
61,1723.073,1555,2728,2.700,61,60
62,1722.741,1550,2781,2.713,62,61
63,1722.096,1557,2617,2.631,63,62
64,1721.698,1561,2508,2.531,64,63
65,1721.505,1543,2437,2.497,65,64
66,1721.871,1552,2450,2.437,66,65
67,1721.253,1551,2426,2.417,67,66
68,1720.897,1547,2626,2.463,68,67
69,1721.276,1562,2667,2.425,69,68
70,1721.305,1548,2627,2.388,70,69
71,1721.084,1541,2590,2.357,71,70
72,1720.646,1548,2602,2.373,72,71
73,1720.806,1535,2616,2.400,73,72
74,1720.906,1556,2629,2.412,74,73
75,1720.031,1563,2552,2.377,75,74
76,1720.070,1546,2568,2.346,76,75
77,1719.995,1554,2628,2.374,77,76
78,1720.219,1531,2616,2.386,78,77
79,1720.928,1535,2662,2.469,79,78
80,1720.753,1558,2570,2.479,80,79
81,1721.212,1571,2648,2.504,81,80
82,1720.527,1568,2525,2.480,82,81
83,1720.550,1558,2598,2.461,83,82
84,1720.393,1533,2522,2.427,84,83
85,1720.122,1543,2667,2.441,85,84
86,1720.265,1563,2623,2.434,86,85
87,1720.640,1562,2625,2.516,87,86
88,1720.567,1542,2596,2.569,88,87
89,1721.071,1547,2585,2.538,89,88
90,1720.341,1551,2638,2.531,90,89
91,1720.475,1561,2644,2.507,91,90
92,1720.543,1563,2565,2.490,92,91
93,1720.664,1556,2635,2.492,93,92
94,1720.645,1557,2607,2.474,94,93
95,1720.377,1568,2526,2.434,95,94
96,1721.020,1555,2552,2.572,96,95
97,1720.970,1551,2601,2.591,97,96
98,1721.020,1569,2631,2.552,98,97
99,1721.079,1554,2619,2.488,99,98
100,1720.275,1567,2611,2.466,100,99
101,1720.246,1549,2605,2.461,101,100
102,1720.539,1532,2602,2.430,102,101
103,1720.805,1555,2578,2.503,103,102
104,1721.355,1556,2591,2.579,104,103
105,1720.749,1563,2670,2.553,105,104
106,1720.161,1535,2648,2.528,106,105
107,1720.455,1545,2590,2.453,107,106
108,1720.455,1534,2399,2.418,108,107
109,1720.370,1567,2613,2.468,109,108
110,1721.361,1534,2670,2.608,110,109
111,1720.462,1547,2564,2.601,111,110
112,1721.390,1545,2611,2.568,112,111
113,1721.388,1568,2580,2.510,113,112
114,1720.653,1558,2563,2.473,114,113
115,1721.441,1565,2662,2.522,115,114
116,1721.002,1553,2649,2.605,116,115
117,1720.850,1541,2602,2.556,117,116
118,1720.683,1559,2641,2.501,118,117
119,1720.656,1540,2629,2.471,119,118
120,1720.648,1558,2591,2.411,120,119
121,1720.402,1557,2590,2.379,121,120
122,1720.603,1562,2610,2.540,122,121
123,1720.835,1554,2513,2.567,123,122
124,1720.924,1527,2623,2.508,124,123
125,1720.426,1537,2647,2.469,125,124
126,1720.687,1538,2556,2.441,126,125
127,1719.566,1535,2639,2.400,127,126
128,1720.940,1564,2664,2.477,128,127
129,1721.200,1565,2686,2.558,129,128
130,1720.603,1558,2662,2.494,130,129
131,1720.682,1559,2707,2.470,131,130
132,1720.481,1545,2636,2.436,132,131
133,1721.036,1552,2617,2.547,133,132
134,1720.553,1563,2524,2.508,134,133
135,1720.014,1555,2545,2.474,135,134
136,1720.090,1553,2543,2.434,136,135
137,1720.170,1562,2646,2.454,137,136
138,1720.637,1539,2706,2.555,138,137
139,1720.492,1533,2642,2.478,139,138
140,1720.521,1554,2638,2.441,140,139
141,1720.555,1559,2678,2.425,141,140
142,1720.219,1545,2661,2.426,142,141
143,1720.569,1538,2610,2.545,143,142
144,1720.385,1564,2724,2.513,144,143
145,1720.627,1563,2685,2.499,145,144
146,1719.970,1541,2681,2.425,146,145
147,1719.752,1540,2705,2.389,147,146
148,1720.738,1556,2664,2.496,148,147
149,1720.357,1566,2632,2.493,149,148
150,1719.897,1558,2619,2.486,150,149
151,1720.749,1554,2624,2.420,151,150
152,1720.152,1563,2656,2.411,152,151
153,1720.049,1551,2685,2.406,153,152
154,1720.264,1560,2558,2.474,154,153
155,1719.869,1541,2582,2.493,155,154
156,1720.069,1513,2637,2.436,156,155
157,1719.616,1553,2624,2.405,157,156
158,1719.463,1542,2753,2.425,158,157
159,1719.656,1556,2658,2.413,159,158
160,1720.134,1562,2549,2.434,160,159
161,1719.736,1558,2564,2.452,161,160
162,1720.195,1558,2561,2.416,162,161
163,1719.209,1556,2598,2.399,163,162
164,1719.423,1551,2651,2.386,164,163
165,1719.835,1513,2609,2.370,165,164
166,1720.294,1556,2563,2.467,166,165
167,1720.020,1552,2573,2.418,167,166
168,1719.969,1523,2615,2.412,168,167
169,1719.289,1560,2572,2.395,169,168
170,1718.628,1534,2657,2.372,170,169
171,1719.042,1552,2574,2.358,171,170
172,1720.308,1561,2592,2.378,172,171
173,1719.629,1555,2618,2.456,173,172
174,1719.701,1558,2589,2.420,174,173
175,1719.172,1565,2604,2.387,175,174
176,1719.532,1548,2651,2.363,176,175
177,1719.747,1564,2558,2.344,177,176
178,1719.971,1545,2610,2.319,178,177
179,1720.291,1558,2622,2.407,179,178
180,1719.322,1555,2612,2.388,180,179
181,1719.995,1556,2623,2.373,181,180
182,1719.218,1569,2585,2.359,182,181
183,1719.267,1542,2665,2.346,183,182
184,1719.533,1562,2585,2.355,184,183
185,1718.988,1539,2560,2.328,185,184
186,1719.611,1561,2554,2.386,186,185
187,1719.874,1567,2576,2.393,187,186
188,1719.456,1547,2537,2.358,188,187
189,1719.106,1557,2558,2.358,189,188
190,1719.268,1553,2675,2.348,190,189
191,1718.650,1558,2552,2.296,191,190
192,1718.896,1558,2643,2.303,192,191
193,1719.346,1537,2591,2.277,193,192
194,1719.429,1565,2572,2.386,194,193
195,1719.809,1542,2578,2.364,195,194
196,1720.018,1542,2560,2.338,196,195
197,1719.455,1559,2585,2.307,197,196
198,1719.347,1524,2600,2.303,198,197
199,1718.984,1522,2579,2.252,199,198
200,1719.454,1536,2621,2.278,200,199
201,1720.076,1547,2544,2.291,201,200
202,1720.062,1555,2646,2.337,202,201
203,1719.782,1532,2603,2.335,203,202
204,1719.192,1546,2564,2.288,204,203
205,1720.092,1543,2624,2.276,205,204
206,1719.763,1548,2627,2.310,206,205
207,1719.678,1554,2609,2.233,207,206
208,1718.888,1554,2663,2.255,208,207
209,1719.195,1554,2603,2.255,209,208
210,1719.640,1548,2572,2.259,210,209
211,1719.692,1538,2520,2.314,211,210
212,1720.136,1561,2639,2.284,212,211
213,1719.428,1556,2572,2.281,213,212
