 ,Mean,Min,Max,Skew,Slice,microns
1,1732.562,1549,2212,1.482,1,0
2,1730.481,1568,2246,1.463,2,1
3,1730.684,1557,2219,1.458,3,2
4,1730.888,1539,2227,1.497,4,3
5,1731.398,1542,2240,1.491,5,4
6,1731.063,1556,2233,1.556,6,5
7,1732.017,1555,2248,1.624,7,6
8,1731.403,1570,2229,1.626,8,7
9,1732.378,1527,2309,1.630,9,8
10,1732.220,1548,2290,1.596,10,9
11,1732.452,1550,2245,1.552,11,10
12,1732.020,1563,2243,1.534,12,11
13,1731.650,1569,2274,1.534,13,12
14,1731.561,1552,2199,1.519,14,13
15,1731.223,1538,2293,1.524,15,14
16,1731.468,1534,2209,1.496,16,15
17,1731.224,1549,2256,1.487,17,16
18,1731.648,1564,2258,1.480,18,17
19,1730.862,1527,2250,1.462,19,18
20,1731.285,1554,2226,1.527,20,19
21,1731.571,1508,2234,1.537,21,20
22,1731.889,1570,2232,1.550,22,21
23,1732.017,1555,2217,1.519,23,22
24,1731.844,1555,2235,1.516,24,23
25,1731.678,1539,2272,1.527,25,24
26,1732.066,1563,2295,1.493,26,25
27,1731.815,1558,2262,1.474,27,26
28,1731.524,1560,2227,1.464,28,27
29,1731.689,1557,2277,1.455,29,28
30,1731.754,1552,2194,1.414,30,29
31,1731.516,1558,2219,1.406,31,30
32,1730.900,1561,2233,1.406,32,31
33,1731.322,1574,2238,1.465,33,32
34,1731.034,1525,2291,1.468,34,33
35,1731.650,1550,2291,1.504,35,34
36,1731.358,1565,2286,1.520,36,35
37,1732.251,1531,2216,1.598,37,36
38,1732.206,1537,2265,1.642,38,37
39,1732.534,1569,2293,1.680,39,38
40,1731.952,1556,2267,1.652,40,39
41,1732.258,1554,2261,1.638,41,40
42,1731.844,1563,2305,1.650,42,41
43,1732.007,1547,2274,1.633,43,42
44,1732.312,1570,2255,1.599,44,43
45,1731.665,1544,2249,1.550,45,44
46,1731.394,1555,2214,1.520,46,45
47,1731.347,1552,2219,1.497,47,46
48,1731.253,1569,2232,1.492,48,47
49,1731.551,1538,2245,1.448,49,48
50,1731.763,1545,2239,1.468,50,49
51,1731.232,1535,2236,1.490,51,50
52,1731.988,1555,2230,1.501,52,51
53,1731.752,1555,2255,1.489,53,52
54,1731.669,1539,2284,1.488,54,53
55,1731.973,1543,2263,1.481,55,54
56,1731.382,1558,2283,1.492,56,55
57,1731.237,1541,2196,1.479,57,56
58,1732.070,1558,2253,1.506,58,57
59,1732.063,1519,2232,1.512,59,58
60,1731.367,1549,2273,1.516,60,59
61,1731.721,1554,2239,1.536,61,60
62,1731.615,1563,2231,1.569,62,61
63,1732.032,1535,2263,1.568,63,62
64,1732.298,1553,2229,1.533,64,63
65,1731.682,1544,2262,1.496,65,64
66,1731.528,1556,2301,1.519,66,65
67,1731.853,1538,2209,1.555,67,66
68,1731.580,1564,2219,1.568,68,67
69,1731.598,1537,2208,1.541,69,68
70,1731.857,1521,2260,1.541,70,69
71,1731.812,1517,2228,1.558,71,70
72,1732.027,1559,2245,1.532,72,71
73,1731.929,1520,2217,1.549,73,72
74,1732.143,1523,2239,1.536,74,73
75,1731.900,1559,2226,1.552,75,74
76,1731.770,1562,2221,1.556,76,75
77,1732.434,1542,2256,1.592,77,76
78,1732.360,1560,2250,1.634,78,77
79,1732.482,1547,2239,1.652,79,78
80,1732.803,1512,2260,1.666,80,79
81,1732.582,1551,2294,1.666,81,80
82,1732.638,1545,2291,1.701,82,81
83,1733.021,1556,2308,1.802,83,82
84,1732.642,1554,2305,1.847,84,83
85,1732.596,1553,2317,1.837,85,84
86,1732.748,1556,2324,1.870,86,85
87,1732.765,1562,2400,1.930,87,86
88,1732.549,1556,2412,1.963,88,87
89,1732.372,1554,2395,1.912,89,88
90,1732.055,1554,2415,1.928,90,89
91,1732.096,1558,2401,1.913,91,90
92,1732.625,1565,2412,1.923,92,91
93,1732.941,1544,2413,1.955,93,92
94,1732.794,1540,2427,1.999,94,93
95,1732.685,1556,2407,2.052,95,94
96,1732.915,1559,2382,2.038,96,95
97,1732.807,1569,2397,2.069,97,96
98,1732.902,1559,2392,2.046,98,97
99,1732.519,1542,2402,2.063,99,98
100,1732.906,1539,2418,2.044,100,99
101,1732.719,1542,2436,2.001,101,100
102,1732.999,1522,2381,2.039,102,101
103,1732.407,1552,2379,2.045,103,102
104,1732.149,1557,2413,2.064,104,103
105,1733.601,1549,2394,2.084,105,104
106,1733.116,1551,2497,2.202,106,105
107,1734.093,1530,2542,2.244,107,106
108,1733.890,1546,2511,2.209,108,107
109,1734.494,1554,2553,2.167,109,108
110,1734.736,1561,2473,2.172,110,109
111,1734.943,1552,2671,2.164,111,110
112,1736.092,1557,2516,2.166,112,111
113,1736.408,1545,2525,2.198,113,112
114,1736.113,1562,2558,2.156,114,113
115,1735.822,1557,2644,2.131,115,114
116,1735.484,1555,2541,2.068,116,115
117,1736.650,1539,2536,2.177,117,116
118,1736.583,1554,2583,2.249,118,117
119,1737.148,1555,2461,2.206,119,118
120,1736.541,1534,2448,2.164,120,119
121,1736.212,1556,2409,2.070,121,120
122,1737.326,1551,2449,2.265,122,121
123,1737.075,1552,2457,2.333,123,122
124,1736.475,1531,2543,2.259,124,123
125,1736.470,1560,2428,2.163,125,124
126,1736.419,1561,2494,2.315,126,125
127,1736.505,1559,2583,2.408,127,126
