 ,Mean,Min,Max,Skew,Slice,microns
1,2081.409,1614,8740,1.270,1,0
2,2087.256,1607,8778,1.277,2,1
3,2085.965,1592,8763,1.271,3,2
4,2084.369,1577,8713,1.274,4,3
5,2083.326,1589,8567,1.267,5,4
6,2082.525,1593,8530,1.262,6,5
7,2081.864,1586,8608,1.269,7,6
8,2081.333,1605,8574,1.267,8,7
9,2080.936,1612,8559,1.269,9,8
10,2080.842,1624,8518,1.269,10,9
11,2082.209,1597,8624,1.264,11,10
12,2082.571,1596,8437,1.261,12,11
13,2082.335,1597,8615,1.268,13,12
14,2081.881,1621,8455,1.267,14,13
15,2080.833,1610,8634,1.266,15,14
16,2080.378,1601,8390,1.258,16,15
17,2079.809,1594,8669,1.273,17,16
18,2079.002,1597,8675,1.274,18,17
19,2079.456,1604,8519,1.266,19,18
20,2079.445,1601,8595,1.271,20,19
21,2078.416,1609,8491,1.274,21,20
22,2078.847,1598,8580,1.261,22,21
23,2078.450,1597,8627,1.273,23,22
24,2078.042,1612,8653,1.273,24,23
25,2078.221,1594,8550,1.266,25,24
26,2077.782,1601,8442,1.269,26,25
27,2078.049,1614,8768,1.267,27,26
28,2077.508,1617,8247,1.266,28,27
29,2078.707,1604,8518,1.252,29,28
30,2079.956,1585,8519,1.257,30,29
31,2079.970,1614,8467,1.254,31,30
32,2079.895,1619,8731,1.259,32,31
33,2079.486,1608,8592,1.255,33,32
34,2078.485,1605,8673,1.255,34,33
35,2078.260,1625,8234,1.242,35,34
36,2077.976,1588,8520,1.250,36,35
37,2077.879,1588,8446,1.257,37,36
38,2077.313,1579,8551,1.251,38,37
39,2077.446,1601,8502,1.234,39,38
40,2077.552,1604,8590,1.250,40,39
41,2076.888,1612,8617,1.277,41,40
42,2076.932,1603,8452,1.259,42,41
43,2076.345,1626,8563,1.254,43,42
44,2076.479,1591,8386,1.250,44,43
45,2076.102,1605,8617,1.251,45,44
46,2076.606,1590,8570,1.250,46,45
47,2075.832,1605,8483,1.247,47,46
48,2078.261,1565,8354,1.240,48,47
49,2079.165,1589,8311,1.242,49,48
50,2078.944,1609,8473,1.247,50,49
51,2078.623,1608,8500,1.255,51,50
52,2078.852,1602,8491,1.255,52,51
53,2077.989,1599,8383,1.247,53,52
54,2077.459,1570,8249,1.245,54,53
55,2077.256,1580,8403,1.245,55,54
56,2077.408,1590,8512,1.247,56,55
57,2076.857,1598,8320,1.250,57,56
58,2076.601,1618,8514,1.255,58,57
59,2076.354,1601,8356,1.260,59,58
60,2076.026,1603,8504,1.245,60,59
61,2076.396,1612,8513,1.252,61,60
62,2075.757,1588,8596,1.248,62,61
63,2076.173,1616,8318,1.248,63,62
64,2075.696,1607,8617,1.248,64,63
65,2075.982,1603,8314,1.246,65,64
66,2076.399,1602,8480,1.247,66,65
67,2078.853,1603,8373,1.234,67,66
68,2079.370,1605,8544,1.233,68,67
69,2079.667,1610,8485,1.228,69,68
70,2079.269,1600,8140,1.237,70,69
