 ,Mean,Min,Max,Skew,Slice,microns
1,7.406,6,33,3.154,1,0
2,7.414,6,29,2.961,2,3
3,7.409,6,25,2.808,3,6
4,7.421,6,36,3.185,4,9
5,7.417,6,29,3.032,5,12
6,7.409,6,26,2.881,6,15
7,7.421,6,34,3.168,7,18
8,7.415,6,28,3.027,8,21
9,7.406,6,26,2.873,9,24
10,7.420,6,29,3.121,10,27
11,7.415,6,29,3.001,11,30
12,7.408,6,27,2.876,12,33
13,7.421,6,33,3.130,13,36
14,7.416,6,30,2.994,14,39
15,7.409,6,28,2.876,15,42
16,7.416,6,30,2.999,16,45
17,7.418,6,31,3.033,17,48
18,7.410,6,31,2.907,18,51
19,7.400,6,28,2.811,19,54
20,7.414,6,34,3.081,20,57
21,7.410,6,32,3.017,21,60
22,7.405,6,29,2.876,22,63
23,7.402,6,28,2.777,23,66
24,7.416,6,39,3.079,24,69
25,7.415,6,36,2.933,25,72
26,7.406,6,32,2.809,26,75
27,7.403,6,29,2.759,27,78
28,7.417,6,37,3.022,28,81
29,7.408,6,33,2.919,29,84
30,7.400,6,24,2.610,30,87
31,7.410,6,30,2.904,31,90
32,7.416,6,31,2.962,32,93
33,7.409,6,28,2.847,33,96
34,7.403,6,23,2.738,34,99
35,7.397,6,20,2.674,35,102
36,7.393,6,20,2.628,36,105
37,7.409,6,23,2.730,37,108
38,7.414,6,25,2.836,38,111
39,7.407,6,24,2.735,39,114
40,7.401,6,21,2.653,40,117
41,7.396,6,20,2.599,41,120
42,7.396,6,19,2.562,42,123
43,7.392,6,19,2.543,43,126
44,7.388,6,18,2.539,44,129
45,7.384,6,19,2.540,45,132
46,7.388,6,19,2.511,46,135
47,7.385,6,19,2.503,47,138
48,7.387,6,18,2.494,48,141
49,7.385,6,18,2.500,49,144
50,7.382,6,19,2.489,50,147
51,7.380,6,19,2.486,51,150
52,7.379,6,18,2.475,52,153
53,7.379,6,18,2.474,53,156
54,7.379,6,19,2.474,54,159
55,7.380,6,18,2.473,55,162
56,7.379,6,19,2.477,56,165
57,7.379,6,18,2.473,57,168
58,7.385,6,18,2.433,58,171
59,7.383,6,17,2.439,59,174
60,7.381,6,18,2.438,60,177
61,7.378,6,19,2.445,61,180
62,7.376,6,18,2.447,62,183
63,7.373,6,19,2.462,63,186
64,7.372,6,18,2.470,64,189
65,7.371,6,19,2.465,65,192
66,7.370,6,18,2.472,66,195
67,7.366,6,19,2.477,67,198
68,7.366,6,18,2.473,68,201
69,7.366,6,19,2.484,69,204
70,7.366,6,20,2.486,70,207
71,7.366,6,18,2.490,71,210
72,7.365,6,18,2.496,72,213
73,7.364,6,19,2.499,73,216
74,7.363,6,20,2.505,74,219
75,7.363,6,18,2.501,75,222
76,7.362,6,17,2.502,76,225
77,7.365,6,17,2.500,77,228
78,7.364,6,17,2.508,78,231
79,7.364,6,17,2.510,79,234
80,7.364,6,17,2.507,80,237
81,7.364,6,17,2.502,81,240
82,7.370,6,17,2.480,82,243
83,7.369,6,17,2.488,83,246
84,7.367,6,16,2.500,84,249
85,7.364,6,18,2.507,85,252
86,7.363,6,17,2.515,86,255
87,7.361,6,16,2.519,87,258
88,7.360,6,16,2.524,88,261
89,7.359,6,17,2.538,89,264
90,7.358,6,17,2.547,90,267
91,7.358,6,17,2.550,91,270
92,7.358,6,17,2.559,92,273
93,7.358,6,18,2.538,93,276
94,7.358,6,17,2.548,94,279
95,7.358,6,17,2.566,95,282
96,7.359,6,17,2.572,96,285
97,7.358,6,17,2.562,97,288
98,7.357,6,17,2.576,98,291
99,7.359,6,18,2.582,99,294
100,7.358,6,16,2.592,100,297
101,7.355,6,17,2.584,101,300
102,7.353,6,16,2.591,102,303
103,7.353,6,16,2.596,103,306
104,7.358,6,16,2.603,104,309
105,7.357,6,16,2.624,105,312
106,7.357,6,15,2.624,106,315
107,7.358,6,15,2.624,107,318
108,7.355,6,16,2.605,108,321
109,7.355,6,16,2.598,109,324
110,7.358,6,17,2.571,110,327
111,7.362,6,16,2.546,111,330
112,7.361,6,16,2.558,112,333
113,7.360,6,16,2.575,113,336
114,7.358,6,16,2.595,114,339
115,7.356,6,16,2.583,115,342
116,7.356,6,16,2.586,116,345
117,7.354,6,16,2.599,117,348
118,7.353,6,17,2.607,118,351
119,7.351,6,15,2.597,119,354
120,7.350,6,15,2.585,120,357
121,7.351,6,15,2.583,121,360
122,7.352,6,16,2.597,122,363
123,7.352,6,17,2.621,123,366
124,7.349,6,18,2.628,124,369
125,7.349,6,20,2.637,125,372
126,7.349,6,16,2.632,126,375
