 ,Mean,Min,Max,Skew,Slice,microns
1,1827.416,1582,5890,3.135,1,0
2,1828.563,1578,5777,3.124,2,1
3,1829.385,1567,5570,3.133,3,2
4,1837.849,1588,6566,3.835,4,3
5,1836.889,1562,7726,3.885,5,4
6,1834.655,1585,7211,3.691,6,5
7,1832.996,1588,6518,3.493,7,6
8,1829.534,1581,6394,3.374,8,7
9,1834.907,1591,8084,3.882,9,8
10,1838.026,1556,8926,4.111,10,9
11,1839.455,1586,7665,3.894,11,10
12,1837.769,1576,7977,3.663,12,11
13,1835.625,1598,6890,3.478,13,12
14,1841.153,1597,9018,4.128,14,13
15,1840.237,1601,10121,4.096,15,14
16,1837.420,1590,8341,3.834,16,15
17,1834.456,1598,6757,3.607,17,16
18,1833.483,1573,6323,3.474,18,17
19,1831.718,1579,5802,3.404,19,18
20,1838.355,1589,8134,3.973,20,19
21,1837.599,1591,8161,4.043,21,20
22,1835.004,1583,7339,3.855,22,21
23,1833.129,1587,6472,3.661,23,22
24,1835.785,1585,7590,3.860,24,23
25,1841.810,1553,8573,4.297,25,24
26,1840.524,1587,8146,4.072,26,25
27,1839.481,1602,7638,3.943,27,26
28,1842.875,1584,9833,4.480,28,27
29,1840.729,1593,9402,4.258,29,28
30,1837.583,1572,8362,3.966,30,29
31,1840.738,1590,9286,4.315,31,30
32,1840.724,1590,9604,4.462,32,31
33,1838.443,1581,8983,4.181,33,32
34,1839.117,1583,9142,4.242,34,33
35,1841.057,1580,9642,4.531,35,34
36,1838.192,1558,9147,4.253,36,35
37,1838.184,1604,9029,4.173,37,36
38,1840.357,1581,10157,4.547,38,37
39,1838.400,1560,9455,4.291,39,38
40,1837.363,1586,8841,4.122,40,39
41,1843.737,1591,10832,4.563,41,40
42,1841.767,1589,9903,4.282,42,41
43,1838.784,1591,8398,3.973,43,42
44,1836.498,1585,7155,3.736,44,43
45,1841.097,1593,9011,4.350,45,44
46,1839.736,1586,9099,4.249,46,45
47,1837.271,1576,8122,3.951,47,46
48,1835.160,1593,6300,3.695,48,47
49,1833.370,1596,5925,3.530,49,48
50,1831.624,1588,5612,3.441,50,49
51,1837.094,1566,15383,4.241,51,50
52,1837.499,1582,7263,4.072,52,51
53,1835.163,1558,6727,3.846,53,52
54,1833.480,1598,6013,3.627,54,53
55,1831.502,1591,5630,3.500,55,54
56,1840.790,1601,8140,4.192,56,55
57,1839.542,1576,7665,4.079,57,56
58,1837.474,1574,7084,3.797,58,57
59,1835.227,1598,6932,3.577,59,58
60,1832.625,1589,6014,3.461,60,59
61,1830.818,1581,5613,3.400,61,60
62,1829.525,1580,5454,3.384,62,61
63,1828.231,1588,5577,3.362,63,62
64,1834.498,1588,6547,3.764,64,63
65,1835.612,1600,7311,4.068,65,64
66,1833.325,1576,6850,3.834,66,65
67,1831.357,1584,6630,3.619,67,66
68,1829.609,1570,5722,3.486,68,67
69,1830.623,1596,6180,3.492,69,68
70,1836.438,1595,8761,4.227,70,69
71,1837.686,1585,8219,4.037,71,70
72,1835.514,1588,6898,3.722,72,71
73,1833.849,1567,6050,3.518,73,72
74,1832.197,1595,5771,3.422,74,73
75,1838.453,1587,8846,4.081,75,74
76,1837.114,1596,9105,4.089,76,75
77,1834.971,1564,8070,3.815,77,76
78,1832.859,1594,8005,3.605,78,77
79,1830.751,1595,6874,3.507,79,78
80,1829.169,1596,5762,3.452,80,79
81,1833.165,1574,7044,3.626,81,80
82,1835.777,1587,8380,3.998,82,81
83,1834.067,1590,7187,3.782,83,82
84,1831.820,1581,7229,3.626,84,83
85,1830.320,1594,7104,3.542,85,84
86,1836.273,1575,9751,4.040,86,85
87,1835.135,1581,8715,3.896,87,86
88,1832.965,1591,7890,3.687,88,87
89,1834.206,1596,7704,3.666,89,88
90,1840.519,1569,8146,3.903,90,89
91,1838.230,1573,7713,3.732,91,90
92,1836.141,1597,7052,3.574,92,91
93,1834.690,1592,6247,3.498,93,92
94,1839.305,1598,7667,3.851,94,93
95,1837.092,1573,6941,3.737,95,94
96,1834.671,1589,6424,3.594,96,95
97,1832.961,1582,6295,3.498,97,96
98,1831.298,1603,6281,3.463,98,97
99,1837.717,1594,7821,3.796,99,98
100,1835.367,1575,7653,3.738,100,99
101,1833.557,1586,6852,3.596,101,100
102,1831.430,1596,6379,3.520,102,101
103,1836.813,1598,8067,3.819,103,102
104,1836.591,1587,7573,3.776,104,103
105,1834.670,1587,6969,3.641,105,104
106,1838.135,1598,7823,3.854,106,105
107,1836.576,1587,8431,3.852,107,106
108,1836.532,1595,8338,3.767,108,107
109,1838.988,1599,8966,3.983,109,108
110,1837.265,1587,8494,3.836,110,109
111,1840.653,1583,10074,4.085,111,110
112,1838.481,1588,10384,3.979,112,111
113,1840.654,1593,12538,4.181,113,112
114,1841.237,1597,12381,4.224,114,113
115,1840.368,1582,10541,4.089,115,114
116,1842.005,1600,10418,4.183,116,115
117,1842.242,1585,10778,4.220,117,116
118,1842.663,1587,11331,4.184,118,117
119,1842.492,1601,10436,4.163,119,118
120,1843.204,1580,9661,4.092,120,119
121,1843.133,1597,9310,4.056,121,120
122,1844.444,1597,9472,4.058,122,121
123,1845.180,1589,10220,4.056,123,122
124,1844.436,1590,9760,3.994,124,123
125,1845.920,1587,9370,4.030,125,124
126,1844.984,1586,9783,4.020,126,125
127,1844.530,1542,10151,3.983,127,126
128,1845.839,1590,10596,4.012,128,127
129,1844.859,1571,9614,3.959,129,128
130,1844.408,1587,8902,3.916,130,129
131,1845.949,1595,9465,3.967,131,130
132,1844.052,1574,9030,3.871,132,131
133,1845.736,1582,9562,3.935,133,132
134,1845.108,1578,9715,3.932,134,133
135,1843.498,1598,9464,3.857,135,134
136,1842.506,1578,9396,3.810,136,135
137,1844.645,1591,9762,3.914,137,136
138,1842.715,1571,9213,3.848,138,137
139,1840.854,1590,9170,3.768,139,138
140,1839.206,1590,9208,3.716,140,139
141,1841.916,1597,9347,3.795,141,140
142,1841.935,1585,8785,3.799,142,141
143,1840.766,1599,8289,3.696,143,142
144,1838.764,1589,8310,3.652,144,143
145,1836.823,1553,8015,3.605,145,144
146,1836.721,1590,6982,3.560,146,145
147,1835.168,1567,7226,3.538,147,146
148,1833.761,1590,7125,3.522,148,147
149,1839.262,1597,9025,3.658,149,148
150,1838.371,1596,7837,3.607,150,149
151,1836.298,1591,7584,3.534,151,150
152,1834.703,1581,7151,3.485,152,151
153,1835.522,1580,6857,3.429,153,152
154,1834.908,1584,6682,3.420,154,153
155,1833.485,1594,6791,3.411,155,154
156,1832.158,1583,6495,3.408,156,155
157,1831.034,1597,6347,3.403,157,156
158,1830.399,1581,6229,3.407,158,157
159,1829.587,1588,6405,3.422,159,158
160,1829.204,1597,6183,3.419,160,159
161,1828.732,1592,6291,3.428,161,160
162,1827.568,1596,6019,3.433,162,161
163,1827.084,1581,5912,3.432,163,162
164,1826.867,1595,5728,3.427,164,163
165,1826.551,1595,5742,3.428,165,164
166,1826.054,1565,5786,3.417,166,165
167,1827.811,1597,5590,3.388,167,166
168,1828.110,1592,5632,3.358,168,167
169,1827.122,1566,6035,3.378,169,168
170,1826.770,1596,5886,3.382,170,169
171,1825.998,1589,5618,3.380,171,170
172,1825.346,1598,5429,3.401,172,171
173,1824.904,1582,5327,3.401,173,172
174,1824.036,1586,5361,3.407,174,173
175,1824.400,1592,5530,3.414,175,174
176,1823.888,1585,5402,3.407,176,175
177,1823.761,1595,5346,3.407,177,176
178,1823.239,1587,5268,3.403,178,177
179,1822.518,1593,5241,3.413,179,178
180,1822.785,1594,5399,3.421,180,179
181,1822.310,1588,5236,3.418,181,180
182,1822.096,1590,5128,3.430,182,181
183,1823.854,1582,5214,3.399,183,182
184,1824.887,1600,5187,3.381,184,183
185,1824.611,1585,5088,3.407,185,184
186,1823.776,1588,5216,3.414,186,185
187,1823.550,1592,5382,3.433,187,186
188,1822.732,1585,5355,3.437,188,187
189,1821.695,1591,5258,3.441,189,188
190,1821.049,1591,5709,3.472,190,189
191,1820.684,1592,5780,3.469,191,190
192,1820.538,1596,5382,3.478,192,191
193,1820.173,1596,5302,3.489,193,192
194,1819.903,1588,5568,3.498,194,193
195,1819.389,1594,5724,3.496,195,194
196,1822.077,1579,5756,3.443,196,195
197,1821.865,1592,5606,3.445,197,196
198,1821.255,1598,5742,3.459,198,197
199,1821.260,1588,5662,3.473,199,198
